doi,times_cited,retrieved_date
10.1371/journal.pone.0198988,0,2018-09-14
10.1371/journal.pone.0200805,0,2018-09-14
10.1515/ap-2018-0055,0,2018-09-14
10.1515/ap-2018-0063,0,2018-09-14
10.15298/rusjtheriol.17.1.02,0,2018-09-14
10.15381/rpb.v25i2.14685,0,2018-09-14
10.1556/038.52.2017.034,0,2018-09-14
10.1590/0001-3765201820170261,0,2018-09-14
10.1590/0001-3765201820170766,0,2018-09-14
10.1590/1678-4766e2018023,0,2018-09-14
10.1590/1982-0224-20170164,0,2018-09-14
10.1643/ci-17-704,0,2018-09-14
10.1649/0010-065x-72.2.269,0,2018-09-14
10.1649/0010-065x-72.2.279,0,2018-09-14
10.1649/0010-065x-72.2.331,0,2018-09-14
10.1649/0010-065x-72.2.371,0,2018-09-14
10.1649/0010-065x-72.2.376,0,2018-09-14
10.1653/024.101.0207,1,2018-09-14
10.1660/062.121.0214,0,2018-09-14
10.17582/journal.pjz/2018.50.4.1367.1372,0,2018-09-14
10.18785/gcr.2901.05,0,2018-09-14
10.21426/b6110111,2,2018-09-14
10.2478/hppj-2018-0007,0,2018-09-14
10.25226/bboc.v138i2.2018.a6,0,2018-09-14
10.25226/bboc.v138i2.2018.a8,0,2018-09-14
10.26879/849,0,2018-09-14
10.26879/870,0,2018-09-14
10.2982/028.107.0102,0,2018-09-14
10.2994/sajh-d-17-00098.1,0,2018-09-14
10.3099/mcz48.1,0,2018-09-14
10.31184/g00138894.693.1648,0,2018-09-14
10.3157/021.127.0406,0,2018-09-14
10.3157/061.144.0203,0,2018-09-14
10.3161/00034541anz2018.68.2.006,0,2018-09-14
10.3161/00034541anz2018.68.2.011,0,2018-09-14
10.31711/giw.v5i0.21,0,2018-09-14
10.3390/d10020030,1,2018-09-14
10.3390/d10020037,1,2018-09-14
10.3390/d10030074,0,2018-09-14
10.3390/d10030077,0,2018-09-14
10.3390/d10030082,0,2018-09-14
10.3390/d10030084,0,2018-09-14
10.3390/md16090297,0,2018-09-14
10.3853/j.2201-4349.70.2018.1678,1,2018-09-14
10.3897/afrinvertebr.59.25022,0,2018-09-14
10.3897/bdj.6.e24484,0,2018-09-14
10.3897/dez.65.25747,0,2018-09-14
10.3897/dez.65.26261,1,2018-09-14
10.3897/dez.65.27424,0,2018-09-14
10.3897/jhr.63.12754,0,2018-09-14
10.3897/nl.41.23090,0,2018-09-14
10.3897/phytokeys.106.21991,0,2018-09-14
10.3897/zookeys.748.23856,0,2018-09-14
10.3897/zookeys.752.23712,0,2018-09-14
10.3897/zookeys.753.21094,0,2018-09-14
10.3897/zookeys.753.22366,0,2018-09-14
10.3897/zookeys.758.23019,0,2018-09-14
10.3897/zookeys.758.24169,0,2018-09-14
10.3897/zookeys.765.24395,0,2018-09-14
10.3897/zookeys.766.24523,0,2018-09-14
10.3897/zookeys.767.21105,0,2018-09-14
10.3897/zookeys.768.24423,0,2018-09-14
10.3897/zookeys.768.24697,0,2018-09-14
10.3897/zookeys.771.20481,1,2018-09-14
10.3897/zookeys.771.24165,0,2018-09-14
10.3897/zookeys.773.21690,1,2018-09-14
10.3897/zookeys.773.24878,0,2018-09-14
10.3897/zookeys.774.25028,0,2018-09-14
10.3897/zookeys.777.23212,0,2018-09-14
10.3897/zookeys.777.24729,0,2018-09-14
10.3897/zookeys.782.26329,0,2018-09-14
10.3897/zookeys.782.27938,0,2018-09-14
10.3897/zoologia.35.e26742,0,2018-09-14
10.3897/zse.94.26859,0,2018-09-14
10.3897/zse.94.28201,0,2018-09-14
10.4002/040.062.0103,1,2018-09-14
10.4039/tce.2018.16,0,2018-09-14
10.4081/fe.2018.279,0,2018-09-14
10.4202/app.00442.2017,0,2018-09-14
10.4202/app.00455.2018,1,2018-09-14
10.4202/app.00457.2018,0,2018-09-14
10.4289/0013-8797.120.2.245,0,2018-09-14
10.4289/0013-8797.120.3.575,0,2018-09-14
10.4289/0013-8797.120.3.605,0,2018-09-14
10.5852/ejt.2018.410,0,2018-09-14
10.5852/ejt.2018.439,0,2018-09-14
10.6001/biologija.v64i1.3659,0,2018-09-14
10.7717/peerj.4580,1,2018-09-14
10.7717/peerj.4864,1,2018-09-14
10.7717/peerj.4950,0,2018-09-14
10.7717/peerj.5016,0,2018-09-14
10.7717/peerj.5033,0,2018-09-14
10.7717/peerj.5194,0,2018-09-14
10.7717/peerj.5212,0,2018-09-14
